,date,project,relative_interest
159,2004-02-01,armadillo code,68.0
160,2004-03-01,mlpack,166.0
161,2004-03-01,robotframework,0.0
162,2004-03-01,openssl,203.0
163,2004-03-01,ITK,97.0
164,2004-03-01,junit4,0.0
165,2004-03-01,struts1,343.0
166,2004-03-01,PyTables,0.0
167,2004-03-01,pycrypto,87.0
168,2004-03-01,paramiko,0.0
169,2004-03-01,rails,14.0
170,2004-03-01,camping,43.0
171,2004-03-01,django,2.0
172,2004-03-01,botan,21.0
173,2004-03-01,pytest,6.0
174,2004-03-01,struts,192.0
175,2004-03-01,testng,20.0
176,2004-03-01,Resteasy,0.0
177,2004-03-01,cppcms,200.0
178,2004-03-01,mahout,0.0
179,2004-03-01,cxf,0.0
180,2004-03-01,googletest,80.0
181,2004-03-01,minitest,37.0
182,2004-03-01,qunit,0.0
183,2004-03-01,spring-framework,25.0
184,2004-03-01,test-unit,166.0
185,2004-03-01,express,82.0
186,2004-03-01,pandas,2.0
187,2004-03-01,rspec,0.0
188,2004-03-01,statsample,0.0
189,2004-03-01,wt,102.0
190,2004-03-01,Catch2,0.0
191,2004-03-01,backbone,42.0
192,2004-03-01,brakeman,0.0
193,2004-03-01,d3,11.0
194,2004-03-01,flask,71.0
195,2004-03-01,grape,43.0
196,2004-03-01,libtomcrypt,0.0
197,2004-03-01,moa,0.0
198,2004-03-01,sciruby,0.0
199,2004-03-01,sorcery,0.0
200,2004-03-01,spark,24.0
201,2004-03-01,zaproxy,70.0
202,2004-03-01,brain.js,100.0
203,2004-03-01,jstat,0.0
204,2004-03-01,nmatrix,41.0
205,2004-03-01,node js,0.0
206,2004-03-01,orange3,0.0
207,2004-03-01,playframework,0.0
208,2004-03-01,pytorch,0.0
209,2004-03-01,roda,15.0
210,2004-03-01,tensorflow ruby,0.0
211,2004-03-01,web2py,0.0
212,2004-03-01,eve,55.0
213,2004-03-01,bouncy castle,54.0
214,2004-03-01,cpprestsdk,191.0
215,2004-03-01,helmet,50.0
216,2004-03-01,koa,100.0
217,2004-03-01,react,2.0
218,2004-03-01,restbed,96.0
219,2004-03-01,Chart.js,0.0
220,2004-03-01,cypress,95.0
221,2004-03-01,dask,76.0
222,2004-03-01,h2o-3,50.0
223,2004-03-01,hanami,0.0
224,2004-03-01,jest,43.0
225,2004-03-01,synaptic,77.0
226,2004-03-01,jsrsasign,0.0
227,2004-03-01,junit5,85.0
228,2004-03-01,nsp,46.0
229,2004-03-01,pistache,0.0
230,2004-03-01,tensorflow,0.0
231,2004-03-01,vue,79.0
232,2004-03-01,weka 3.8,0.0
233,2004-03-01,cppunit,79.0
234,2004-03-01,tfjs,0.0
235,2004-03-01,fastapi,0.0
236,2004-03-01,deeplearning4j,196.0
237,2004-03-01,faces,197.0
238,2004-03-01,owasp java,33.0
239,2004-03-01,armadillo code,72.0
240,2004-04-01,mlpack,98.0
241,2004-04-01,robotframework,288.0
242,2004-04-01,openssl,206.0
243,2004-04-01,ITK,46.0
244,2004-04-01,junit4,0.0
245,2004-04-01,struts1,342.0
246,2004-04-01,PyTables,100.0
247,2004-04-01,pycrypto,190.0
248,2004-04-01,paramiko,0.0
249,2004-04-01,rails,10.0
250,2004-04-01,camping,66.0
251,2004-04-01,django,2.0
252,2004-04-01,botan,0.0
253,2004-04-01,pytest,0.0
254,2004-04-01,struts,190.0
255,2004-04-01,testng,0.0
256,2004-04-01,Resteasy,53.0
257,2004-04-01,cppcms,95.0
258,2004-04-01,mahout,0.0
259,2004-04-01,cxf,0.0
260,2004-04-01,googletest,36.0
261,2004-04-01,minitest,143.0
262,2004-04-01,qunit,0.0
263,2004-04-01,spring-framework,113.0
264,2004-04-01,test-unit,113.0
265,2004-04-01,express,83.0
266,2004-04-01,pandas,1.0
267,2004-04-01,rspec,0.0
268,2004-04-01,statsample,0.0
269,2004-04-01,wt,64.0
270,2004-04-01,Catch2,0.0
271,2004-04-01,backbone,43.0
272,2004-04-01,brakeman,0.0
273,2004-04-01,d3,12.0
274,2004-04-01,flask,55.0
275,2004-04-01,grape,49.0
276,2004-04-01,libtomcrypt,0.0
277,2004-04-01,moa,22.0
278,2004-04-01,sciruby,0.0
279,2004-04-01,sorcery,22.0
280,2004-04-01,spark,30.0
281,2004-04-01,zaproxy,0.0
282,2004-04-01,brain.js,0.0
283,2004-04-01,jstat,56.0
284,2004-04-01,nmatrix,20.0
285,2004-04-01,node js,0.0
286,2004-04-01,orange3,0.0
287,2004-04-01,playframework,12.0
288,2004-04-01,pytorch,0.0
289,2004-04-01,roda,13.0
290,2004-04-01,tensorflow ruby,0.0
291,2004-04-01,web2py,0.0
292,2004-04-01,eve,46.0
293,2004-04-01,bouncy castle,78.0
294,2004-04-01,cpprestsdk,189.0
295,2004-04-01,helmet,58.0
296,2004-04-01,koa,65.0
297,2004-04-01,react,0.0
298,2004-04-01,restbed,194.0
299,2004-04-01,Chart.js,39.0
300,2004-04-01,cypress,89.0
301,2004-04-01,dask,0.0
302,2004-04-01,h2o-3,104.0
303,2004-04-01,hanami,0.0
304,2004-04-01,jest,36.0
305,2004-04-01,synaptic,74.0
306,2004-04-01,jsrsasign,0.0
307,2004-04-01,junit5,0.0
308,2004-04-01,nsp,31.0
309,2004-04-01,pistache,0.0
310,2004-04-01,tensorflow,0.0
311,2004-04-01,vue,38.0
312,2004-04-01,weka 3.8,0.0
313,2004-04-01,cppunit,77.0
314,2004-04-01,tfjs,0.0
315,2004-04-01,fastapi,0.0
316,2004-04-01,deeplearning4j,0.0
317,2004-04-01,faces,208.0
318,2004-04-01,owasp java,0.0
319,2004-04-01,armadillo code,166.0
320,2004-05-01,mlpack,51.0
321,2004-05-01,robotframework,35.0
322,2004-05-01,openssl,152.0
323,2004-05-01,ITK,72.0
324,2004-05-01,junit4,77.0
325,2004-05-01,struts1,377.0
326,2004-05-01,PyTables,0.0
327,2004-05-01,pycrypto,131.0
328,2004-05-01,paramiko,0.0
329,2004-05-01,rails,11.0
330,2004-05-01,camping,68.0
331,2004-05-01,django,1.0
332,2004-05-01,botan,17.0
333,2004-05-01,pytest,0.0
334,2004-05-01,struts,176.0
335,2004-05-01,testng,0.0
336,2004-05-01,Resteasy,0.0
337,2004-05-01,cppcms,90.0
338,2004-05-01,mahout,0.0
339,2004-05-01,cxf,14.0
340,2004-05-01,googletest,35.0
341,2004-05-01,minitest,96.0
342,2004-05-01,qunit,0.0
343,2004-05-01,spring-framework,163.0
344,2004-05-01,test-unit,53.0
345,2004-05-01,express,75.0
346,2004-05-01,pandas,1.0
347,2004-05-01,rspec,0.0
348,2004-05-01,statsample,0.0
349,2004-05-01,wt,83.0
350,2004-05-01,Catch2,0.0
351,2004-05-01,backbone,45.0
352,2004-05-01,brakeman,57.0
353,2004-05-01,d3,12.0
354,2004-05-01,flask,58.0
355,2004-05-01,grape,70.0
356,2004-05-01,libtomcrypt,0.0
357,2004-05-01,moa,25.0
358,2004-05-01,sciruby,0.0
359,2004-05-01,sorcery,45.0
360,2004-05-01,spark,26.0
361,2004-05-01,zaproxy,0.0
362,2004-05-01,brain.js,0.0
363,2004-05-01,jstat,35.0
364,2004-05-01,nmatrix,0.0
365,2004-05-01,node js,0.0
366,2004-05-01,orange3,100.0
367,2004-05-01,playframework,10.0
368,2004-05-01,pytorch,0.0
369,2004-05-01,roda,15.0
370,2004-05-01,tensorflow ruby,0.0
371,2004-05-01,web2py,38.0
372,2004-05-01,eve,42.0
373,2004-05-01,bouncy castle,200.0
374,2004-05-01,cpprestsdk,281.0
375,2004-05-01,helmet,70.0
376,2004-05-01,koa,45.0
377,2004-05-01,react,1.0
378,2004-05-01,restbed,94.0
379,2004-05-01,Chart.js,0.0
380,2004-05-01,cypress,85.0
381,2004-05-01,dask,0.0
382,2004-05-01,h2o-3,74.0
383,2004-05-01,hanami,0.0
384,2004-05-01,jest,39.0
385,2004-05-01,synaptic,76.0
386,2004-05-01,jsrsasign,0.0
387,2004-05-01,junit5,69.0
388,2004-05-01,nsp,22.0
389,2004-05-01,pistache,96.0
390,2004-05-01,tensorflow,0.0
391,2004-05-01,vue,36.0
392,2004-05-01,weka 3.8,0.0
393,2004-05-01,cppunit,94.0
394,2004-05-01,tfjs,0.0
395,2004-05-01,fastapi,0.0
396,2004-05-01,deeplearning4j,67.0
397,2004-05-01,faces,132.0
398,2004-05-01,owasp java,0.0
399,2004-05-01,armadillo code,54.0
400,2004-06-01,mlpack,37.0
401,2004-06-01,robotframework,0.0
402,2004-06-01,openssl,146.0
403,2004-06-01,ITK,100.0
404,2004-06-01,junit4,0.0
405,2004-06-01,struts1,445.0
406,2004-06-01,PyTables,0.0
407,2004-06-01,pycrypto,0.0
408,2004-06-01,paramiko,0.0
409,2004-06-01,rails,50.0
410,2004-06-01,camping,81.0
411,2004-06-01,django,2.0
412,2004-06-01,botan,18.0
413,2004-06-01,pytest,5.0
414,2004-06-01,struts,196.0
415,2004-06-01,testng,0.0
416,2004-06-01,Resteasy,0.0
417,2004-06-01,cppcms,180.0
418,2004-06-01,mahout,0.0
419,2004-06-01,cxf,8.0
420,2004-06-01,googletest,67.0
421,2004-06-01,minitest,55.0
422,2004-06-01,qunit,0.0
423,2004-06-01,spring-framework,111.0
424,2004-06-01,test-unit,55.0
425,2004-06-01,express,78.0
426,2004-06-01,pandas,1.0
427,2004-06-01,rspec,0.0
428,2004-06-01,statsample,0.0
429,2004-06-01,wt,72.0
430,2004-06-01,Catch2,0.0
431,2004-06-01,backbone,40.0
432,2004-06-01,brakeman,0.0
433,2004-06-01,d3,10.0
434,2004-06-01,flask,48.0
435,2004-06-01,grape,81.0
436,2004-06-01,libtomcrypt,100.0
437,2004-06-01,moa,17.0
438,2004-06-01,sciruby,0.0
439,2004-06-01,sorcery,33.0
440,2004-06-01,spark,21.0
441,2004-06-01,zaproxy,0.0
442,2004-06-01,brain.js,0.0
443,2004-06-01,jstat,32.0
444,2004-06-01,nmatrix,100.0
445,2004-06-01,node js,0.0
446,2004-06-01,orange3,0.0
447,2004-06-01,playframework,0.0
448,2004-06-01,pytorch,0.0
449,2004-06-01,roda,24.0
450,2004-06-01,tensorflow ruby,0.0
451,2004-06-01,web2py,0.0
452,2004-06-01,eve,45.0
453,2004-06-01,bouncy castle,0.0
454,2004-06-01,cpprestsdk,174.0
455,2004-06-01,helmet,74.0
456,2004-06-01,koa,94.0
457,2004-06-01,react,1.0
458,2004-06-01,restbed,183.0
459,2004-06-01,Chart.js,123.0
460,2004-06-01,cypress,81.0
461,2004-06-01,dask,0.0
462,2004-06-01,h2o-3,160.0
463,2004-06-01,hanami,53.0
464,2004-06-01,jest,46.0
465,2004-06-01,synaptic,83.0
466,2004-06-01,jsrsasign,0.0
467,2004-06-01,junit5,13.0
468,2004-06-01,nsp,10.0
469,2004-06-01,pistache,0.0
470,2004-06-01,tensorflow,0.0
471,2004-06-01,vue,42.0
472,2004-06-01,weka 3.8,0.0
473,2004-06-01,cppunit,85.0
474,2004-06-01,tfjs,0.0
475,2004-06-01,fastapi,0.0
476,2004-06-01,deeplearning4j,53.0
477,2004-06-01,faces,135.0
478,2004-06-01,owasp java,36.0
479,2004-06-01,armadillo code,74.0
480,2004-07-01,mlpack,55.0
481,2004-07-01,robotframework,0.0
482,2004-07-01,openssl,127.0
483,2004-07-01,ITK,15.0
484,2004-07-01,junit4,26.0
485,2004-07-01,struts1,389.0
486,2004-07-01,PyTables,0.0
487,2004-07-01,pycrypto,188.0
488,2004-07-01,paramiko,0.0
489,2004-07-01,rails,12.0
490,2004-07-01,camping,87.0
491,2004-07-01,django,2.0
492,2004-07-01,botan,27.0
493,2004-07-01,pytest,0.0
494,2004-07-01,struts,198.0
495,2004-07-01,testng,8.0
496,2004-07-01,Resteasy,0.0
497,2004-07-01,cppcms,89.0
498,2004-07-01,mahout,0.0
499,2004-07-01,cxf,0.0
500,2004-07-01,googletest,139.0
501,2004-07-01,minitest,91.0
502,2004-07-01,qunit,0.0
503,2004-07-01,spring-framework,169.0
504,2004-07-01,test-unit,51.0
505,2004-07-01,express,87.0
506,2004-07-01,pandas,2.0
507,2004-07-01,rspec,0.0
508,2004-07-01,statsample,0.0
509,2004-07-01,wt,120.0
510,2004-07-01,Catch2,0.0
511,2004-07-01,backbone,40.0
512,2004-07-01,brakeman,0.0
513,2004-07-01,d3,14.0
514,2004-07-01,flask,60.0
515,2004-07-01,grape,96.0
516,2004-07-01,libtomcrypt,0.0
517,2004-07-01,moa,11.0
518,2004-07-01,sciruby,0.0
519,2004-07-01,sorcery,48.0
520,2004-07-01,spark,21.0
521,2004-07-01,zaproxy,100.0
522,2004-07-01,brain.js,0.0
523,2004-07-01,jstat,0.0
524,2004-07-01,nmatrix,27.0
525,2004-07-01,node js,0.0
526,2004-07-01,orange3,98.0
527,2004-07-01,playframework,67.0
528,2004-07-01,pytorch,0.0
529,2004-07-01,roda,11.0
530,2004-07-01,tensorflow ruby,0.0
531,2004-07-01,web2py,0.0
532,2004-07-01,eve,58.0
533,2004-07-01,bouncy castle,168.0
534,2004-07-01,cpprestsdk,169.0
535,2004-07-01,helmet,67.0
536,2004-07-01,koa,76.0
537,2004-07-01,react,1.0
538,2004-07-01,restbed,84.0
539,2004-07-01,Chart.js,0.0
540,2004-07-01,cypress,83.0
541,2004-07-01,dask,0.0
542,2004-07-01,h2o-3,40.0
543,2004-07-01,hanami,0.0
544,2004-07-01,jest,26.0
545,2004-07-01,synaptic,79.0
546,2004-07-01,jsrsasign,0.0
547,2004-07-01,junit5,37.0
548,2004-07-01,nsp,48.0
549,2004-07-01,pistache,0.0
550,2004-07-01,tensorflow,0.0
551,2004-07-01,vue,41.0
552,2004-07-01,weka 3.8,0.0
553,2004-07-01,cppunit,98.0
554,2004-07-01,tfjs,0.0
555,2004-07-01,fastapi,0.0
556,2004-07-01,deeplearning4j,0.0
557,2004-07-01,faces,150.0
558,2004-07-01,owasp java,0.0
559,2004-07-01,armadillo code,88.0
560,2004-08-01,mlpack,122.0
561,2004-08-01,robotframework,0.0
562,2004-08-01,openssl,133.0
563,2004-08-01,ITK,78.0
564,2004-08-01,junit4,0.0
565,2004-08-01,struts1,316.0
566,2004-08-01,PyTables,100.0
567,2004-08-01,pycrypto,44.0
568,2004-08-01,paramiko,0.0
569,2004-08-01,rails,14.0
570,2004-08-01,camping,71.0
571,2004-08-01,django,2.0
572,2004-08-01,botan,23.0
573,2004-08-01,pytest,6.0
574,2004-08-01,struts,180.0
575,2004-08-01,testng,9.0
576,2004-08-01,Resteasy,0.0
577,2004-08-01,cppcms,79.0
578,2004-08-01,mahout,100.0
579,2004-08-01,cxf,0.0
580,2004-08-01,googletest,140.0
581,2004-08-01,minitest,51.0
582,2004-08-01,qunit,22.0
583,2004-08-01,spring-framework,166.0
